Time,SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 1:Des Heat Mass Flow [kg/s],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 1:Des Heat Cap [W],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 1:Des Cool Mass Flow [kg/s],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 1:Des Sens Cool Cap [W],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 1:Des Tot Cool Cap [W],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 2:Des Heat Mass Flow [kg/s],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 2:Des Heat Cap [W],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 2:Des Cool Mass Flow [kg/s],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 2:Des Sens Cool Cap [W],SYSTEM 1_ HYDRONIC FCU SYSTEM_\{11240\}:DesPer 2:Des Tot Cool Cap [W]
00:15:00,2.165855E+01,0.000000E+00,2.174386E+01,0.000000E+00,2.814473E+05,2.165855E+01,0.000000E+00,2.168414E+01,7.781267E+04,5.652278E+05
00:30:00,2.165855E+01,0.000000E+00,2.172288E+01,0.000000E+00,2.783358E+05,2.165855E+01,0.000000E+00,2.167953E+01,7.508509E+04,5.623014E+05
00:45:00,2.165855E+01,0.000000E+00,2.170300E+01,0.000000E+00,2.756566E+05,2.165855E+01,0.000000E+00,2.167585E+01,7.274904E+04,5.597928E+05
01:00:00,2.165855E+01,0.000000E+00,2.168347E+01,0.000000E+00,2.729895E+05,2.165855E+01,0.000000E+00,2.167274E+01,7.041560E+04,5.573022E+05
01:15:00,2.165855E+01,0.000000E+00,2.167761E+01,0.000000E+00,2.705004E+05,2.165855E+01,0.000000E+00,2.166919E+01,6.808147E+04,5.548041E+05
01:30:00,2.165855E+01,0.000000E+00,2.167443E+01,0.000000E+00,2.680489E+05,2.165855E+01,0.000000E+00,2.166859E+01,6.575706E+04,5.523848E+05
01:45:00,2.165855E+01,0.000000E+00,2.167219E+01,0.000000E+00,2.664161E+05,2.165855E+01,0.000000E+00,2.166805E+01,6.420709E+04,5.510305E+05
02:00:00,2.165855E+01,0.000000E+00,2.167051E+01,0.000000E+00,2.647920E+05,2.165855E+01,0.000000E+00,2.166755E+01,6.265731E+04,5.496782E+05
02:15:00,2.165855E+01,0.000000E+00,2.166802E+01,0.000000E+00,2.631595E+05,2.165855E+01,0.000000E+00,2.166709E+01,6.110770E+04,5.483277E+05
02:30:00,2.165855E+01,9.189641E+02,2.166737E+01,0.000000E+00,2.615511E+05,2.165855E+01,0.000000E+00,2.166665E+01,5.955825E+04,5.469789E+05
02:45:00,2.165855E+01,2.079707E+03,2.166677E+01,0.000000E+00,2.603444E+05,2.165855E+01,0.000000E+00,2.166624E+01,5.839596E+04,5.456811E+05
03:00:00,2.165855E+01,3.240451E+03,2.166621E+01,0.000000E+00,2.591391E+05,2.165855E+01,0.000000E+00,2.166585E+01,5.723378E+04,5.443847E+05
03:15:00,2.165855E+01,4.401194E+03,2.166570E+01,0.000000E+00,2.579351E+05,2.165855E+01,0.000000E+00,2.187074E+01,5.660291E+04,5.482348E+05
03:30:00,2.165855E+01,5.561937E+03,2.166521E+01,0.000000E+00,2.567323E+05,2.165855E+01,0.000000E+00,2.330102E+01,5.905580E+04,5.827059E+05
03:45:00,2.165855E+01,6.722658E+03,2.166475E+01,0.000000E+00,2.555303E+05,2.165855E+01,0.000000E+00,2.980215E+01,7.393559E+04,7.435254E+05
04:00:00,2.165855E+01,7.883378E+03,2.166431E+01,0.000000E+00,2.543294E+05,2.165855E+01,0.000000E+00,3.674096E+01,8.918095E+04,9.144728E+05
04:15:00,2.165855E+01,9.044098E+03,2.182724E+01,0.000000E+00,2.550382E+05,2.165855E+01,0.000000E+00,4.115817E+01,9.769705E+04,1.021990E+06
04:30:00,2.165855E+01,1.020482E+04,2.247430E+01,0.000000E+00,2.613599E+05,2.165855E+01,0.000000E+00,4.987443E+01,1.157140E+05,1.235483E+06
