Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 01/01  01:00:00,244072.75646705893,1260302.960666268,517819.77295707946,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,450027.5905337005,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,1691355.3234070735,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,2823885.163328266,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,244072.75646705893,1260302.960666268,1035639.5459141589,110785.63290393612,4121565.459396098,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,488145.51293411787,1260302.960666268,1035639.5459141589,110785.63290393612,4828227.337282954,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,488145.51293411787,1260302.960666268,1018378.8868155896,110785.63290393612,18702592.166640922,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,1464436.5388023537,1260302.960666268,1035639.5459141589,110785.63290393612,12571866.417616691,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,4393309.616407061,2835681.661499103,1035639.5459141589,110785.63290393612,1668498.5186714195,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,4393309.616407061,2835681.661499103,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,4393309.616407061,2835681.661499103,172606.59098569315,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  12:00:00,4393309.616407061,2835681.661499103,345213.1819713863,115866.10148689478,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,4393309.616407061,2520605.921332536,0.0,122270.17915180362,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,4393309.616407061,2835681.661499103,0.0,143279.07958342182,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,4393309.616407061,2835681.661499103,0.0,163614.97259752481,0.0,177611.45300278772,0.0,3178.8235871943407,316168.45944687503,0.0 
 01/01  16:00:00,4393309.616407061,2835681.661499103,0.0,168318.89799459503,0.0,530660.2006330629,0.0,9367.897969264126,632310.1565868112,0.0 
 01/01  17:00:00,4393309.616407061,2835681.661499103,0.0,137029.6508798089,0.0,74350.9283005627,0.0,1308.765371522747,210762.37575695588,0.0 
 01/01  18:00:00,3417018.5905388244,2520605.921332536,517819.77295707946,113126.2281267865,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,2440727.5646705893,1890454.440999402,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,2440727.5646705893,1890454.440999402,0.0,110785.63290393612,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,1464436.5388023537,1575378.7008328347,1035639.5459141589,110785.63290393612,1657157.3219457958,0.0,0.0,0.0,0.0,0.0 
