Time,VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Heat Cap [W],VAV WITH REHEAT:DesPer 3:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 4:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 4:Des Heat Cap [W],VAV WITH REHEAT:DesPer 4:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 4:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 4:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 5:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 5:Des Heat Cap [W],VAV WITH REHEAT:DesPer 5:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 5:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 5:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 6:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 6:Des Heat Cap [W],VAV WITH REHEAT:DesPer 6:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 6:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 6:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 7:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 7:Des Heat Cap [W],VAV WITH REHEAT:DesPer 7:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 7:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 7:Des Tot Cool Cap [W]
00:10:00,6.041261E-02,0.000000E+00,2.084967E-01,2.936672E+03,4.161139E+03,6.041261E-02,0.000000E+00,1.260832E-01,1.403299E+03,2.754860E+03,6.041261E-02,0.000000E+00,1.788898E-01,2.359151E+03,4.259326E+03,6.041261E-02,0.000000E+00,1.777175E-01,2.336706E+03,4.265630E+03,5.176701E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.475574E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.011590E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
00:20:00,6.041261E-02,0.000000E+00,2.061419E-01,2.899111E+03,4.119012E+03,6.041261E-02,0.000000E+00,1.219550E-01,1.340976E+03,2.666881E+03,6.041261E-02,0.000000E+00,1.761793E-01,2.316626E+03,4.210760E+03,6.041261E-02,0.000000E+00,1.749529E-01,2.293426E+03,4.216112E+03,5.176436E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.475387E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.011270E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
00:30:00,6.041261E-02,0.000000E+00,2.037552E-01,2.861105E+03,4.075452E+03,6.041261E-02,0.000000E+00,1.177903E-01,1.278141E+03,2.577377E+03,6.041261E-02,0.000000E+00,1.732866E-01,2.271559E+03,4.157947E+03,6.041261E-02,0.000000E+00,1.719956E-01,2.247458E+03,4.162118E+03,5.176172E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.475201E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010952E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
00:40:00,6.041261E-02,0.000000E+00,2.013603E-01,2.822986E+03,4.031978E+03,6.041261E-02,0.000000E+00,1.136053E-01,1.215025E+03,2.487160E+03,6.041261E-02,0.000000E+00,1.701693E-01,2.223358E+03,4.100995E+03,6.041261E-02,0.000000E+00,1.688684E-01,2.199119E+03,4.104918E+03,5.175909E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.475017E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010635E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
00:50:00,6.041261E-02,0.000000E+00,1.989801E-01,2.785073E+03,3.989303E+03,6.041261E-02,0.000000E+00,1.094134E-01,1.151812E+03,2.396638E+03,6.041261E-02,0.000000E+00,1.670159E-01,2.174656E+03,4.043589E+03,6.041261E-02,0.000000E+00,1.656823E-01,2.149960E+03,4.046820E+03,5.175648E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474833E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010320E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
01:00:00,6.041261E-02,0.000000E+00,1.966431E-01,2.747762E+03,3.947792E+03,6.041261E-02,0.000000E+00,1.052256E-01,1.088656E+03,2.306006E+03,6.041261E-02,0.000000E+00,1.638035E-01,2.125129E+03,3.985281E+03,6.041261E-02,0.000000E+00,1.624389E-01,2.100000E+03,3.987822E+03,5.175389E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474651E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010007E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
01:10:00,6.041261E-02,0.000000E+00,1.947842E-01,2.718687E+03,3.915939E+03,6.041261E-02,0.000000E+00,1.016385E-01,1.035446E+03,2.231540E+03,6.041261E-02,0.000000E+00,1.610145E-01,2.083072E+03,3.936359E+03,6.041261E-02,0.000000E+00,1.596220E-01,2.057552E+03,3.938287E+03,5.175410E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474666E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010032E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
01:20:00,6.041261E-02,0.000000E+00,1.928854E-01,2.689054E+03,3.883581E+03,6.041261E-02,0.000000E+00,9.809547E-02,9.828523E+02,2.157677E+03,6.041261E-02,0.000000E+00,1.582125E-01,2.040833E+03,3.887186E+03,6.041261E-02,0.000000E+00,1.567913E-01,2.014912E+03,3.888472E+03,5.175431E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474681E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010057E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
01:30:00,6.041261E-02,0.000000E+00,1.909376E-01,2.658740E+03,3.850576E+03,6.041261E-02,0.000000E+00,9.460114E-02,9.309377E+02,2.084478E+03,6.041261E-02,0.000000E+00,1.554023E-01,1.998478E+03,3.837775E+03,6.041261E-02,0.000000E+00,1.539509E-01,1.972137E+03,3.838378E+03,5.175451E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474695E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010082E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
01:40:00,6.041261E-02,0.000000E+00,1.889301E-01,2.627591E+03,3.816739E+03,6.041261E-02,0.000000E+00,9.116024E-02,8.797689E+02,2.011995E+03,6.041261E-02,0.000000E+00,1.525866E-01,1.956048E+03,3.788141E+03,6.041261E-02,0.000000E+00,1.511096E-01,1.929348E+03,3.788124E+03,5.175472E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,3.474710E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00,5.010106E-01,0.000000E+00,6.041261E-02,0.000000E+00,0.000000E+00
