Time,TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Heat Load [W],TEST_OFFICE_0::Des Latent Cool Load [W],TEST_OFFICE_0::Des Latent Heat Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Heat Load No DOAS [W],TEST_OFFICE_0::Des Sens Cool Load No DOAS [W],TEST_OFFICE_0::Des Latent Heat Load No DOAS [W],TEST_OFFICE_0::Des Latent Cool Load No DOAS [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.025216E+03,2.349631E+03,4.141361E-01,1.813015E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849048E+01,2.669768E+01,4.268098E+01
00:20:00,8.024805E+03,2.323092E+03,4.141149E-01,1.792538E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849049E+01,2.669768E+01,4.269314E+01
00:30:00,8.024395E+03,2.296195E+03,4.140938E-01,1.771785E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849050E+01,2.669769E+01,4.269443E+01
00:40:00,8.023988E+03,2.269205E+03,4.140728E-01,1.750959E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849052E+01,2.669771E+01,4.269849E+01
00:50:00,8.023583E+03,2.242383E+03,4.140519E-01,1.730262E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849053E+01,2.669772E+01,4.270983E+01
01:00:00,8.023181E+03,2.216047E+03,4.140311E-01,1.709940E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849054E+01,2.669773E+01,4.272758E+01
01:10:00,8.023214E+03,2.195100E+03,4.140328E-01,1.693776E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849055E+01,2.669772E+01,4.274939E+01
01:20:00,8.023246E+03,2.173703E+03,4.140344E-01,1.677264E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849056E+01,2.669776E+01,4.277364E+01
01:30:00,8.023278E+03,2.151757E+03,4.140361E-01,1.660327E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849058E+01,2.669781E+01,4.280063E+01
01:40:00,8.023310E+03,2.129137E+03,4.140377E-01,1.642871E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849059E+01,2.669784E+01,4.283050E+01
01:50:00,8.023341E+03,2.105714E+03,4.140394E-01,1.624794E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849060E+01,2.669787E+01,4.286300E+01
02:00:00,8.023372E+03,2.081287E+03,4.140410E-01,1.605942E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849061E+01,2.669789E+01,4.289774E+01
