Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,154846754.5008639,154846754.50086403 
 01/01  02:00:00,149151136.41848648,149151136.41848662 
 01/01  03:00:00,149240666.74834278,149240666.74834275 
 01/01  04:00:00,150421043.23688853,150421043.2368885 
 01/01  05:00:00,155372281.35043234,155372281.3504323 
 01/01  06:00:00,171775774.60549113,171775774.60549128 
 01/01  07:00:00,193360293.90580785,193360293.90580818 
 01/01  08:00:00,194643212.60944915,193849336.1319754 
 01/01  09:00:00,186134895.5226303,180541852.32993585 
 01/01  10:00:00,169494703.05235726,154869546.70458493 
 01/01  11:00:00,161700169.3097389,139715845.76839098 
 01/01  12:00:00,166006794.9108396,139243605.25925213 
 01/01  13:00:00,170163801.7956763,143789106.11725625 
 01/01  14:00:00,160164934.56232247,143862863.14468706 
 01/01  15:00:00,154890955.23226273,140801871.8600237 
 01/01  16:00:00,164237748.92376906,151430466.1814882 
 01/01  17:00:00,197743410.14944047,193848804.82047474 
 01/01  18:00:00,254715616.60286283,254715616.6028628 
 01/01  19:00:00,255825605.3718706,255825605.37187055 
 01/01  20:00:00,241821231.158951,241821231.15895104 
 01/01  21:00:00,237363527.77273867,237363527.77273902 
 01/01  22:00:00,225296356.1916297,225296356.19163007 
 01/01  23:00:00,198129334.0097396,198129334.00973988 
 01/01  24:00:00,174709603.36060607,174709603.3606064 
 01/02  01:00:00,157947097.00225094,157947097.00225106 
 01/02  02:00:00,154646741.0705209,154646741.07052103 
 01/02  03:00:00,154438824.1935154,154438824.19351536 
 01/02  04:00:00,157388158.30649674,157388158.30649674 
 01/02  05:00:00,163404631.9879267,163404631.98792672 
 01/02  06:00:00,179121200.04811025,179121200.04811034 
 01/02  07:00:00,199805868.76190427,199805868.7619046 
 01/02  08:00:00,200872220.4429369,199942374.99171165 
 01/02  09:00:00,195313514.88326705,186896566.41045442 
 01/02  10:00:00,181158041.70316607,165019344.43319952 
 01/02  11:00:00,169891533.33304277,147895225.84923726 
 01/02  12:00:00,166470450.18864772,145881639.56696382 
 01/02  13:00:00,159641089.61742264,128994209.41057754 
 01/02  14:00:00,155158941.50427946,123393536.06937382 
 01/02  15:00:00,151805192.51018336,129360979.35211685 
 01/02  16:00:00,159004246.1504931,150206043.14965633 
 01/02  17:00:00,193067371.89216864,190762808.63410047 
 01/02  18:00:00,262958284.63555378,262958284.63555378 
 01/02  19:00:00,262234019.07066348,262234019.07066342 
 01/02  20:00:00,244655554.95450354,244655554.9545036 
 01/02  21:00:00,235883111.65924767,235883111.659248 
 01/02  22:00:00,220124587.14544272,220124587.14544305 
 01/02  23:00:00,188756988.58174968,188756988.58174998 
 01/02  24:00:00,163563816.62072712,163563816.62072742 
 01/03  01:00:00,143847796.6922634,143847796.6922635 
 01/03  02:00:00,140053488.83658382,140053488.8365838 
 01/03  03:00:00,143001428.6985134,143001428.69851333 
 01/03  04:00:00,148463005.87424478,148463005.87424475 
 01/03  05:00:00,153453606.5737437,153453606.57374367 
 01/03  06:00:00,169861901.09027445,169861901.09027457 
