Time,VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],FLR_3_DOAS:DesPer 1:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Heat Cap [W],FLR_3_DOAS:DesPer 1:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 1:Des Tot Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Heat Cap [W],FLR_3_DOAS:DesPer 2:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.801743E+00,2.423395E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.162311E+01,2.653202E+05,4.679921E+05,4.722375E+00,1.300218E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.242465E+01,1.642779E+05,3.444988E+05
00:20:00,8.801613E+00,2.423359E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.161681E+01,2.644141E+05,4.670826E+05,4.722159E+00,1.300158E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.238892E+01,1.628842E+05,3.425585E+05
00:30:00,8.801483E+00,2.423323E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.161068E+01,2.635102E+05,4.661679E+05,4.721943E+00,1.300099E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.235365E+01,1.615018E+05,3.406366E+05
00:40:00,8.801309E+00,2.423276E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.154638E+01,2.619527E+05,4.643477E+05,4.721360E+00,1.299938E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.231883E+01,1.601306E+05,3.387324E+05
00:50:00,8.801234E+00,2.423255E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.148504E+01,2.604290E+05,4.625742E+05,4.721511E+00,1.299980E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.228446E+01,1.587705E+05,3.368460E+05
01:00:00,8.801080E+00,2.423212E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.146855E+01,2.594090E+05,4.614966E+05,4.720942E+00,1.299823E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.225056E+01,1.574213E+05,3.349775E+05
01:10:00,8.801087E+00,2.423214E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.145288E+01,2.586762E+05,4.607165E+05,4.720957E+00,1.299827E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.221729E+01,1.563882E+05,3.334438E+05
01:20:00,8.801093E+00,2.423216E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.143750E+01,2.579466E+05,4.599395E+05,4.720971E+00,1.299831E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.218471E+01,1.553671E+05,3.319320E+05
01:30:00,8.801100E+00,2.423218E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.142241E+01,2.572203E+05,4.591664E+05,4.720985E+00,1.299835E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.215283E+01,1.543581E+05,3.304426E+05
01:40:00,8.801107E+00,2.423220E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.140764E+01,2.564975E+05,4.583972E+05,4.721000E+00,1.299839E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.212165E+01,1.533612E+05,3.289756E+05
01:50:00,8.801113E+00,2.423222E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.139318E+01,2.557783E+05,4.576324E+05,4.721014E+00,1.299843E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.209119E+01,1.523763E+05,3.275309E+05
02:00:00,8.801120E+00,2.423223E+05,8.421397E+00,0.000000E+00,0.000000E+00,8.421397E+00,0.000000E+00,2.137904E+01,2.550626E+05,4.568720E+05,4.721028E+00,1.299847E+05,2.468955E+00,0.000000E+00,0.000000E+00,2.468955E+00,0.000000E+00,1.206143E+01,1.514035E+05,3.261088E+05
