Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,33943474.903407015,746122165.6661776 
 01/01  02:00:00,33943474.903407015,746122165.6661776 
 01/01  03:00:00,33943474.903407015,746122165.6661776 
 01/01  04:00:00,33943474.903407015,746122165.6661776 
 01/01  05:00:00,33943474.903407015,746122165.6661776 
 01/01  06:00:00,33943474.903407015,746122165.6661776 
 01/01  07:00:00,33943474.903407015,824394452.0555365 
 01/01  08:00:00,32259338.035202328,824394452.0555365 
 01/01  09:00:00,29271287.44597944,824394452.0555365 
 01/01  10:00:00,29196626.950566977,824394452.0555365 
 01/01  11:00:00,29196626.950566977,824394452.0555365 
 01/01  12:00:00,29196626.950566977,824394452.0555365 
 01/01  13:00:00,29196626.950566977,824394452.0555365 
 01/01  14:00:00,29319025.508365937,824394452.0555365 
 01/01  15:00:00,29197723.2942106,824394452.0555365 
 01/01  16:00:00,29726625.55321654,824394452.0555365 
 01/01  17:00:00,33176033.566958673,824394452.0555365 
 01/01  18:00:00,33943474.903407015,824394452.0555365 
 01/01  19:00:00,33943474.903407015,746122165.6661776 
 01/01  20:00:00,33943474.903407015,746122165.6661776 
 01/01  21:00:00,33943474.903407015,746122165.6661776 
 01/01  22:00:00,33943474.903407015,746122165.6661776 
 01/01  23:00:00,33943474.903407015,746122165.6661776 
 01/01  24:00:00,33943474.903407015,746122165.6661776 
 01/02  01:00:00,33943474.903407015,836730825.2177298 
 01/02  02:00:00,33943474.903407015,836730825.2177298 
 01/02  03:00:00,33943474.903407015,836730825.2177298 
 01/02  04:00:00,33943474.903407015,836730825.2177298 
 01/02  05:00:00,33943474.903407015,836730825.2177298 
 01/02  06:00:00,41984535.820733696,836730825.2177298 
 01/02  07:00:00,62706410.468951315,941093873.7368754 
 01/02  08:00:00,192792322.9921379,941093873.7368754 
 01/02  09:00:00,526198736.5583921,1524590982.1435692 
 01/02  10:00:00,525554010.37144583,1524590982.1435692 
 01/02  11:00:00,525554010.37144583,1524590982.1435692 
 01/02  12:00:00,525554010.37144583,1524590982.1435692 
 01/02  13:00:00,525554010.37144583,1407891560.4622302 
 01/02  14:00:00,525554010.37144583,1524590982.1435692 
 01/02  15:00:00,528530540.3821049,1524590982.1435692 
 01/02  16:00:00,535343787.2838645,1524590982.1435692 
 01/02  17:00:00,598808872.8245425,1524590982.1435692 
 01/02  18:00:00,339443317.00842553,1057793295.4182142 
 01/02  19:00:00,203669488.0706059,941093873.7368754 
 01/02  20:00:00,203669488.0706059,941093873.7368754 
