Time,DOAS SYSTEM OTHER:DesPer 1:Des Heat Mass Flow [kg/s],DOAS SYSTEM OTHER:DesPer 1:Des Heat Cap [W],DOAS SYSTEM OTHER:DesPer 1:Des Cool Mass Flow [kg/s],DOAS SYSTEM OTHER:DesPer 1:Des Sens Cool Cap [W],DOAS SYSTEM OTHER:DesPer 1:Des Tot Cool Cap [W],DOAS SYSTEM OTHER:DesPer 2:Des Heat Mass Flow [kg/s],DOAS SYSTEM OTHER:DesPer 2:Des Heat Cap [W],DOAS SYSTEM OTHER:DesPer 2:Des Cool Mass Flow [kg/s],DOAS SYSTEM OTHER:DesPer 2:Des Sens Cool Cap [W],DOAS SYSTEM OTHER:DesPer 2:Des Tot Cool Cap [W],DOAS SYSTEM BOT:DesPer 1:Des Heat Mass Flow [kg/s],DOAS SYSTEM BOT:DesPer 1:Des Heat Cap [W],DOAS SYSTEM BOT:DesPer 1:Des Cool Mass Flow [kg/s],DOAS SYSTEM BOT:DesPer 1:Des Sens Cool Cap [W],DOAS SYSTEM BOT:DesPer 1:Des Tot Cool Cap [W],DOAS SYSTEM BOT:DesPer 2:Des Heat Mass Flow [kg/s],DOAS SYSTEM BOT:DesPer 2:Des Heat Cap [W],DOAS SYSTEM BOT:DesPer 2:Des Cool Mass Flow [kg/s],DOAS SYSTEM BOT:DesPer 2:Des Sens Cool Cap [W],DOAS SYSTEM BOT:DesPer 2:Des Tot Cool Cap [W],DOAS SYSTEM MID:DesPer 1:Des Heat Mass Flow [kg/s],DOAS SYSTEM MID:DesPer 1:Des Heat Cap [W],DOAS SYSTEM MID:DesPer 1:Des Cool Mass Flow [kg/s],DOAS SYSTEM MID:DesPer 1:Des Sens Cool Cap [W],DOAS SYSTEM MID:DesPer 1:Des Tot Cool Cap [W],DOAS SYSTEM MID:DesPer 2:Des Heat Mass Flow [kg/s],DOAS SYSTEM MID:DesPer 2:Des Heat Cap [W],DOAS SYSTEM MID:DesPer 2:Des Cool Mass Flow [kg/s],DOAS SYSTEM MID:DesPer 2:Des Sens Cool Cap [W],DOAS SYSTEM MID:DesPer 2:Des Tot Cool Cap [W],DOAS SYSTEM TOP:DesPer 1:Des Heat Mass Flow [kg/s],DOAS SYSTEM TOP:DesPer 1:Des Heat Cap [W],DOAS SYSTEM TOP:DesPer 1:Des Cool Mass Flow [kg/s],DOAS SYSTEM TOP:DesPer 1:Des Sens Cool Cap [W],DOAS SYSTEM TOP:DesPer 1:Des Tot Cool Cap [W],DOAS SYSTEM TOP:DesPer 2:Des Heat Mass Flow [kg/s],DOAS SYSTEM TOP:DesPer 2:Des Heat Cap [W],DOAS SYSTEM TOP:DesPer 2:Des Cool Mass Flow [kg/s],DOAS SYSTEM TOP:DesPer 2:Des Sens Cool Cap [W],DOAS SYSTEM TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.851790E+00,4.372850E+04,6.990385E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676774E+01,3.539211E+05,7.421900E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.548788E+00,3.369989E+04,7.067033E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.353797E+01,3.112174E+05,6.526382E+05,2.065874E+00,4.878391E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.349124E+00,3.105996E+04,6.513426E+04
00:20:00,1.851790E+00,4.372850E+04,6.989785E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676800E+01,3.519342E+05,7.401458E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.551127E+00,3.354111E+04,7.053966E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.356284E+01,3.097941E+05,6.515219E+05,2.094742E+00,4.946561E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.351673E+00,3.091879E+04,6.502470E+04
00:30:00,1.851790E+00,4.372850E+04,6.989160E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676814E+01,3.499456E+05,7.380987E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.552865E+00,3.337414E+04,7.039212E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.358304E+01,3.083060E+05,6.502733E+05,2.120403E+00,5.007156E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.353783E+00,3.077150E+04,6.490268E+04
00:40:00,1.851790E+00,4.372850E+04,6.988512E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676818E+01,3.479556E+05,7.360481E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.554416E+00,3.320448E+04,7.023912E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.359923E+01,3.067629E+05,6.489111E+05,2.143106E+00,5.060768E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.355508E+00,3.061890E+04,6.476972E+04
00:50:00,1.851790E+00,4.372850E+04,6.987846E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676813E+01,3.459645E+05,7.339953E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.556547E+00,3.304206E+04,7.010176E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.361200E+01,3.051731E+05,6.474526E+05,2.162966E+00,5.107667E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.356898E+00,3.046171E+04,6.462730E+04
01:00:00,1.851790E+00,4.372850E+04,6.987164E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676803E+01,3.439727E+05,7.319413E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.558096E+00,3.287187E+04,6.994823E+04,1.851790E+01,4.372850E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.362185E+01,3.035439E+05,6.459127E+05,2.180820E+00,5.149826E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.357997E+00,3.030057E+04,6.447676E+04
01:10:00,1.851790E+00,4.372850E+04,6.986420E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676894E+01,3.426574E+05,7.305988E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.560227E+00,3.277233E+04,6.987569E+04,1.853507E+01,4.376905E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.363386E+01,3.025266E+05,6.450336E+05,2.197083E+00,5.188230E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.359172E+00,3.019872E+04,6.438835E+04
01:20:00,1.851790E+00,4.372850E+04,6.985665E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.676985E+01,3.413419E+05,7.292554E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.562027E+00,3.266837E+04,6.979389E+04,1.856301E+01,4.383501E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.364399E+01,3.014842E+05,6.441019E+05,2.212259E+00,5.224067E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.360155E+00,3.009430E+04,6.429455E+04
01:30:00,1.851790E+00,4.372850E+04,6.984901E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.677074E+01,3.400262E+05,7.279119E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.563560E+00,3.256083E+04,6.970468E+04,1.861760E+01,4.396394E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.365254E+01,3.004206E+05,6.431263E+05,2.226652E+00,5.258056E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.360972E+00,2.998768E+04,6.419620E+04
01:40:00,1.851790E+00,4.372850E+04,6.984130E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.677162E+01,3.387102E+05,7.265682E+05,1.851790E+00,4.372850E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.564885E+00,3.245051E+04,6.960969E+04,1.869032E+01,4.413566E+05,1.851790E+01,0.000000E+00,0.000000E+00,1.851790E+01,0.000000E+00,2.365976E+01,2.993395E+05,6.421140E+05,2.240733E+00,5.291307E+04,1.851790E+00,0.000000E+00,0.000000E+00,1.851790E+00,0.000000E+00,2.361651E+00,2.987923E+04,6.409402E+04
