Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,40512414.83143302,107057102.65348656 
 01/01  02:00:00,40512414.83143302,107057102.65348656 
 01/01  03:00:00,24434192.262496896,96537163.26531492 
 01/01  04:00:00,24434192.262496896,96537163.26531492 
 01/01  05:00:00,24434192.262496896,96537163.26531492 
 01/01  06:00:00,24434192.262496896,96537163.26531492 
 01/01  07:00:00,46608921.15890301,181350902.47468653 
 01/01  08:00:00,54161596.82232374,262733725.53365818 
 01/01  09:00:00,58587962.784329675,309387410.2728582 
 01/01  10:00:00,49607651.0754184,252213786.14548656 
 01/01  11:00:00,43511144.7479484,170569837.85188654 
 01/01  12:00:00,40259674.70663107,170569837.85188654 
 01/01  13:00:00,40259674.70663107,170569837.85188654 
 01/01  14:00:00,31310550.602149807,160049898.46371493 
 01/01  15:00:00,31310550.602149807,160049898.46371493 
 01/01  16:00:00,31310550.602149807,160049898.46371493 
 01/01  17:00:00,31310550.602149807,173379522.67491493 
 01/01  18:00:00,31437235.321716577,205037380.1765149 
 01/01  19:00:00,81625384.11722527,249926822.55222982 
 01/01  20:00:00,110515746.1240184,267634295.27577314 
 01/01  21:00:00,120497450.83823784,304813483.0863448 
 01/01  22:00:00,100533638.38352334,295437025.49480146 
 01/01  23:00:00,84455427.34183392,226599980.18262976 
 01/01  24:00:00,46608921.15890301,177234649.95748654 
 01/02  01:00:00,28904963.56930822,96537163.26531492 
 01/02  02:00:00,21882138.185889654,91277193.57122909 
 01/02  03:00:00,14452487.548277447,86017223.8771433 
 01/02  04:00:00,14452487.548277447,86017223.8771433 
 01/02  05:00:00,14452487.548277447,86017223.8771433 
 01/02  06:00:00,28904963.56930822,96537163.26531492 
 01/02  07:00:00,57809927.13861644,245189338.7076582 
 01/02  08:00:00,69469903.87812719,319907349.6610299 
 01/02  09:00:00,53679558.59067696,231075868.03205818 
 01/02  10:00:00,53679558.59067696,231075868.03205818 
 01/02  11:00:00,33753133.864458255,163643665.13140076 
 01/02  12:00:00,33753133.864458255,163643665.13140076 
 01/02  13:00:00,33753133.864458255,163643665.13140076 
 01/02  14:00:00,33753133.864458255,163643665.13140076 
 01/02  15:00:00,33753133.864458255,163643665.13140076 
 01/02  16:00:00,33753133.864458255,163643665.13140076 
 01/02  17:00:00,33753133.864458255,175307086.31620073 
 01/02  18:00:00,33956645.29942091,223626974.08180067 
 01/02  19:00:00,83640847.47368161,260446761.94040146 
 01/02  20:00:00,116026679.5314265,278154234.6639447 
 01/02  21:00:00,130479167.07970402,310073452.7804306 
 01/02  22:00:00,116026679.5314265,316476904.2711447 
 01/02  23:00:00,87121324.46308938,237119919.57080144 
 01/02  24:00:00,43357451.11758568,177234649.95748654 
 01/03  01:00:00,28904963.56930822,96537163.26531492 
 01/03  02:00:00,21882138.185889654,91277193.57122909 
 01/03  03:00:00,14452487.548277447,86017223.8771433 
 01/03  04:00:00,14452487.548277447,86017223.8771433 
 01/03  05:00:00,14452487.548277447,86017223.8771433 
 01/03  06:00:00,28904963.56930822,96537163.26531492 
 01/03  07:00:00,57809927.13861644,245189338.7076582 
 01/03  08:00:00,69538637.47389701,319907349.6610299 
 01/03  09:00:00,53710173.92328506,231075868.03205818 
 01/03  10:00:00,53679558.59067696,231075868.03205818 
 01/03  11:00:00,33753133.864458255,163643665.13140076 
 01/03  12:00:00,33753133.864458255,163643665.13140076 
 01/03  13:00:00,33753133.864458255,163643665.13140076 
 01/03  14:00:00,33753133.864458255,163643665.13140076 
 01/03  15:00:00,33753133.864458255,163643665.13140076 
 01/03  16:00:00,33753133.864458255,163643665.13140076 
 01/03  17:00:00,33753133.864458255,175307086.31620073 
 01/03  18:00:00,33915212.71738787,223626974.08180067 
 01/03  19:00:00,83476009.15032661,260446761.94040146 
 01/03  20:00:00,116026679.5314265,278154234.6639447 
 01/03  21:00:00,130479167.07970402,310073452.7804306 
