Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),FAN COIL WITH CONST FAN VAR FLUID FLOW - FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 01/01  01:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6820.157422947108 
 01/01  02:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,7780.9273183825 
 01/01  03:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8965.304065612278 
 01/01  04:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9927.618402173963 
 01/01  05:00:00,244072.75646705893,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,10872.565840878586 
 01/01  06:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11765.59077217202 
 01/01  07:00:00,488145.51293411787,1260302.960666268,1026868.9694648555,204740.87770730193,0.0,0.0,0.0,47584.60864525746 
 01/01  08:00:00,1464436.5388023537,1260302.960666268,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,38839.52503042866 
 01/01  09:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,23412.135831367294 
 01/01  10:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16626.57592749642 
 01/01  11:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,11718.05648790399 
 01/01  12:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,8240.97829146557 
 01/01  13:00:00,4393309.616407061,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,6659.595290031132 
 01/01  14:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,5025.558539416393 
 01/01  15:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,4490.753594285314 
 01/01  16:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,2237.585925323817 
 01/01  17:00:00,4393309.616407061,2835681.661499103,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,3663.1773255586177 
 01/01  18:00:00,3417018.5905388244,2520605.921332536,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,9000.244233826576 
 01/01  19:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,14108.248798861905 
 01/01  20:00:00,2440727.5646705893,1890454.440999402,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,16217.909329533286 
 01/01  21:00:00,1464436.5388023537,1575378.7008328347,1026868.9694648555,204740.87770730196,0.0,0.0,0.0,20905.189205223098 
