Time,VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Heat Cap [W],VAV WITH REHEAT:DesPer 3:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 4:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 4:Des Heat Cap [W],VAV WITH REHEAT:DesPer 4:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 4:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 4:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 5:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 5:Des Heat Cap [W],VAV WITH REHEAT:DesPer 5:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 5:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 5:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 6:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 6:Des Heat Cap [W],VAV WITH REHEAT:DesPer 6:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 6:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 6:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 7:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 7:Des Heat Cap [W],VAV WITH REHEAT:DesPer 7:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 7:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 7:Des Tot Cool Cap [W]
00:10:00,6.038754E-02,0.000000E+00,2.026851E-01,2.855503E+03,4.073190E+03,6.038754E-02,0.000000E+00,1.171058E-01,1.278082E+03,2.603086E+03,6.038754E-02,0.000000E+00,1.725656E-01,2.270912E+03,4.156708E+03,6.038754E-02,0.000000E+00,1.712787E-01,2.246869E+03,4.160767E+03,5.176701E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.475574E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.011590E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
00:20:00,6.038754E-02,0.000000E+00,2.005081E-01,2.820426E+03,4.033800E+03,6.038754E-02,0.000000E+00,1.131143E-01,1.217668E+03,2.516757E+03,6.038754E-02,0.000000E+00,1.696007E-01,2.224837E+03,4.103684E+03,6.038754E-02,0.000000E+00,1.682818E-01,2.200350E+03,4.107142E+03,5.176436E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.475387E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.011270E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
00:30:00,6.038754E-02,0.000000E+00,1.983217E-01,2.785218E+03,3.993338E+03,6.038754E-02,0.000000E+00,1.090928E-01,1.156836E+03,2.429013E+03,6.038754E-02,0.000000E+00,1.665441E-01,2.177484E+03,4.047944E+03,6.038754E-02,0.000000E+00,1.651911E-01,2.152520E+03,4.050733E+03,5.176172E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.475201E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010952E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
00:40:00,6.038754E-02,0.000000E+00,1.961620E-01,2.750384E+03,3.953480E+03,6.038754E-02,0.000000E+00,1.050570E-01,1.095804E+03,2.340592E+03,6.038754E-02,0.000000E+00,1.634147E-01,2.129117E+03,3.990690E+03,6.038754E-02,0.000000E+00,1.620304E-01,2.103714E+03,3.992824E+03,5.175909E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.475017E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010635E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
00:50:00,6.038754E-02,0.000000E+00,1.939678E-01,2.715070E+03,3.913546E+03,6.038754E-02,0.000000E+00,1.010192E-01,1.034744E+03,2.251873E+03,6.038754E-02,0.000000E+00,1.602290E-01,2.079962E+03,3.932515E+03,6.038754E-02,0.000000E+00,1.588144E-01,2.054136E+03,3.933978E+03,5.175648E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474833E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010320E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
01:00:00,6.038754E-02,0.000000E+00,1.917077E-01,2.678835E+03,3.873024E+03,6.038754E-02,0.000000E+00,9.698960E-02,9.737977E+02,2.163042E+03,6.038754E-02,0.000000E+00,1.569993E-01,2.030194E+03,3.873628E+03,6.038754E-02,0.000000E+00,1.555549E-01,2.003953E+03,3.874400E+03,5.175389E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474651E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010007E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
01:10:00,6.038754E-02,0.000000E+00,1.898158E-01,2.649303E+03,3.840526E+03,6.038754E-02,0.000000E+00,9.355251E-02,9.226838E+02,2.090306E+03,6.038754E-02,0.000000E+00,1.541952E-01,1.987925E+03,3.824152E+03,6.038754E-02,0.000000E+00,1.527276E-01,1.961360E+03,3.824368E+03,5.175410E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474666E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010032E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
01:20:00,6.038754E-02,0.000000E+00,1.878546E-01,2.618803E+03,3.807174E+03,6.038754E-02,0.000000E+00,9.016103E-02,8.722066E+02,2.018152E+03,6.038754E-02,0.000000E+00,1.513926E-01,1.945678E+03,3.774626E+03,6.038754E-02,0.000000E+00,1.499030E-01,1.918806E+03,3.774287E+03,5.175431E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474681E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010057E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
01:30:00,6.038754E-02,0.000000E+00,1.858136E-01,2.587188E+03,3.772684E+03,6.038754E-02,0.000000E+00,8.681912E-02,8.224211E+02,1.946637E+03,6.038754E-02,0.000000E+00,1.485984E-01,1.903548E+03,3.725106E+03,6.038754E-02,0.000000E+00,1.470894E-01,1.876405E+03,3.724244E+03,5.175451E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474695E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010082E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
01:40:00,6.038754E-02,0.000000E+00,1.836747E-01,2.554206E+03,3.736693E+03,6.038754E-02,0.000000E+00,8.353102E-02,7.733868E+02,1.875811E+03,6.038754E-02,0.000000E+00,1.458211E-01,1.861652E+03,3.675718E+03,6.038754E-02,0.000000E+00,1.442945E-01,1.834264E+03,3.674351E+03,5.175472E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,3.474710E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00,5.010106E-01,0.000000E+00,6.038754E-02,0.000000E+00,0.000000E+00
