Time,TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Heat Load [W],TEST_OFFICE_0::Des Latent Cool Load [W],TEST_OFFICE_0::Des Latent Heat Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Heat Load No DOAS [W],TEST_OFFICE_0::Des Sens Cool Load No DOAS [W],TEST_OFFICE_0::Des Latent Heat Load No DOAS [W],TEST_OFFICE_0::Des Latent Cool Load No DOAS [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.025216E+03,2.284139E+03,4.141361E-01,1.762479E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849048E+01,2.669767E+01,4.276789E+01
00:20:00,8.024805E+03,2.259603E+03,4.141149E-01,1.743549E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849049E+01,2.669768E+01,4.277990E+01
00:30:00,8.024395E+03,2.234962E+03,4.140938E-01,1.724536E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849050E+01,2.669768E+01,4.278051E+01
00:40:00,8.023988E+03,2.210622E+03,4.140728E-01,1.705756E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849052E+01,2.669769E+01,4.278330E+01
00:50:00,8.023583E+03,2.185895E+03,4.140519E-01,1.686677E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849053E+01,2.669768E+01,4.279266E+01
01:00:00,8.023181E+03,2.160426E+03,4.140311E-01,1.667023E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849054E+01,2.669775E+01,4.280874E+01
01:10:00,8.023214E+03,2.139110E+03,4.140328E-01,1.650572E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849055E+01,2.669780E+01,4.283093E+01
01:20:00,8.023246E+03,2.117013E+03,4.140344E-01,1.633519E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849056E+01,2.669784E+01,4.285768E+01
01:30:00,8.023278E+03,2.094016E+03,4.140361E-01,1.615770E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849058E+01,2.669786E+01,4.288774E+01
01:40:00,8.023310E+03,2.069917E+03,4.140377E-01,1.597171E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849059E+01,2.669788E+01,4.292032E+01
01:50:00,8.023341E+03,2.045514E+03,4.140394E-01,1.578337E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849060E+01,2.669789E+01,4.295486E+01
02:00:00,8.023372E+03,2.021172E+03,4.140410E-01,1.559552E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849061E+01,2.669790E+01,4.299099E+01
02:10:00,8.023403E+03,1.996843E+03,4.140425E-01,1.540777E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849062E+01,2.669792E+01,4.302856E+01
02:20:00,8.023433E+03,1.972588E+03,4.140441E-01,1.522059E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849063E+01,2.669794E+01,4.306735E+01
02:30:00,8.023463E+03,1.948458E+03,4.140457E-01,1.503438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849065E+01,2.669795E+01,4.310715E+01
02:40:00,8.023493E+03,1.924459E+03,4.140472E-01,1.484919E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849066E+01,2.669797E+01,4.314781E+01
02:50:00,8.023522E+03,1.900578E+03,4.140487E-01,1.466491E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849067E+01,2.669798E+01,4.318921E+01
03:00:00,8.023552E+03,1.876903E+03,4.140502E-01,1.448221E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849068E+01,2.669799E+01,4.323132E+01
03:10:00,8.023581E+03,1.853309E+03,4.140517E-01,1.430014E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849069E+01,2.669801E+01,4.327415E+01
03:20:00,8.023609E+03,1.829793E+03,4.140532E-01,1.411868E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849070E+01,2.669803E+01,4.331780E+01
03:30:00,8.023637E+03,1.806337E+03,4.140546E-01,1.393767E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849071E+01,2.669804E+01,4.336229E+01
03:40:00,8.023665E+03,1.782926E+03,4.140561E-01,1.375702E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849072E+01,2.669806E+01,4.340762E+01
03:50:00,8.023693E+03,1.759641E+03,4.140575E-01,1.357733E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849073E+01,2.669807E+01,4.345375E+01
04:00:00,8.023721E+03,1.736489E+03,4.140589E-01,1.339868E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849074E+01,2.669809E+01,4.350057E+01
04:10:00,8.023748E+03,1.713666E+03,4.140603E-01,1.322256E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849075E+01,2.669810E+01,4.354802E+01
04:20:00,8.023775E+03,1.691205E+03,4.140617E-01,1.304924E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849076E+01,2.669811E+01,4.359587E+01
04:30:00,8.023802E+03,1.669134E+03,4.140631E-01,1.287892E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849077E+01,2.669812E+01,4.364396E+01
04:40:00,8.023828E+03,1.647471E+03,4.140645E-01,1.271177E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849078E+01,2.669813E+01,4.369227E+01
04:50:00,8.023855E+03,1.626205E+03,4.140658E-01,1.254767E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849079E+01,2.669814E+01,4.374080E+01
05:00:00,8.023881E+03,1.605355E+03,4.140672E-01,1.238678E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849080E+01,2.669815E+01,4.378959E+01
05:10:00,8.023906E+03,1.587665E+03,4.140685E-01,1.225028E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849081E+01,2.669816E+01,4.383862E+01
05:20:00,8.023932E+03,1.579015E+03,4.140698E-01,1.218352E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849082E+01,2.669815E+01,4.388285E+01
05:30:00,8.023957E+03,1.587849E+03,4.140712E-01,1.225169E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849083E+01,2.669810E+01,4.390952E+01
05:40:00,8.023982E+03,1.618245E+03,4.140724E-01,1.248626E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849084E+01,2.669798E+01,4.389937E+01
05:50:00,8.024007E+03,1.669398E+03,4.140737E-01,1.288100E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849085E+01,2.669783E+01,4.384126E+01
06:00:00,8.024032E+03,1.740977E+03,4.140750E-01,1.343339E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099638E+01,4.849086E+01,2.669769E+01,4.374042E+01
