Time,DOAS SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 1:Des Heat Cap [W],DOAS SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 1:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 1:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 2:Des Heat Cap [W],DOAS SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 2:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 2:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 3:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 3:Des Heat Cap [W],DOAS SYSTEM:DesPer 3:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 3:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 3:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 4:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 4:Des Heat Cap [W],DOAS SYSTEM:DesPer 4:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 4:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 4:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 5:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 5:Des Heat Cap [W],DOAS SYSTEM:DesPer 5:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 5:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 5:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 6:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 6:Des Heat Cap [W],DOAS SYSTEM:DesPer 6:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 6:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 6:Des Tot Cool Cap [W],DOAS SYSTEM:DesPer 7:Des Heat Mass Flow [kg/s],DOAS SYSTEM:DesPer 7:Des Heat Cap [W],DOAS SYSTEM:DesPer 7:Des Cool Mass Flow [kg/s],DOAS SYSTEM:DesPer 7:Des Sens Cool Cap [W],DOAS SYSTEM:DesPer 7:Des Tot Cool Cap [W]
00:10:00,6.038754E-02,0.000000E+00,1.870274E-01,2.689177E+03,5.418108E+03,6.038754E-02,0.000000E+00,8.614143E-02,6.932587E+02,2.229616E+03,6.038754E-02,0.000000E+00,1.567688E-01,1.828772E+03,5.526539E+03,6.038754E-02,0.000000E+00,1.554830E-01,1.798148E+03,5.527117E+03,5.176704E-01,1.227638E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.474124E-01,4.468484E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.012181E-01,1.113074E+04,6.038754E-02,0.000000E+00,0.000000E+00
00:20:00,6.038754E-02,0.000000E+00,1.848515E-01,2.643589E+03,5.340334E+03,6.038754E-02,0.000000E+00,8.202763E-02,6.538044E+02,2.100986E+03,6.038754E-02,0.000000E+00,1.538074E-01,1.782325E+03,5.409791E+03,6.038754E-02,0.000000E+00,1.524908E-01,1.751745E+03,5.408507E+03,5.176437E-01,1.227575E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473936E-01,4.468242E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.011859E-01,1.113002E+04,6.038754E-02,0.000000E+00,0.000000E+00
00:30:00,6.038754E-02,0.000000E+00,1.826662E-01,2.598202E+03,5.262631E+03,6.038754E-02,0.000000E+00,7.796629E-02,6.154007E+02,1.975974E+03,6.038754E-02,0.000000E+00,1.507541E-01,1.735279E+03,5.290298E+03,6.038754E-02,0.000000E+00,1.494031E-01,1.704714E+03,5.286994E+03,5.176172E-01,1.227512E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473749E-01,4.468002E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.011540E-01,1.112931E+04,6.038754E-02,0.000000E+00,0.000000E+00
00:40:00,6.038754E-02,0.000000E+00,1.805075E-01,2.553531E+03,5.186044E+03,6.038754E-02,0.000000E+00,7.394141E-02,5.779105E+02,1.854125E+03,6.038754E-02,0.000000E+00,1.476282E-01,1.687874E+03,5.168750E+03,6.038754E-02,0.000000E+00,1.462460E-01,1.657376E+03,5.163529E+03,5.175908E-01,1.227449E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473564E-01,4.467763E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.011222E-01,1.112861E+04,6.038754E-02,0.000000E+00,0.000000E+00
00:50:00,6.038754E-02,0.000000E+00,1.783143E-01,2.508708E+03,5.108814E+03,6.038754E-02,0.000000E+00,6.991428E-02,5.410258E+02,1.734440E+03,6.038754E-02,0.000000E+00,1.444459E-01,1.640315E+03,5.045739E+03,6.038754E-02,0.000000E+00,1.430337E-01,1.609904E+03,5.038625E+03,5.175646E-01,1.227387E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473379E-01,4.467526E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010906E-01,1.112791E+04,6.038754E-02,0.000000E+00,0.000000E+00
01:00:00,6.038754E-02,0.000000E+00,1.760556E-01,2.463309E+03,5.030063E+03,6.038754E-02,0.000000E+00,6.589554E-02,5.048285E+02,1.617171E+03,6.038754E-02,0.000000E+00,1.412197E-01,1.592751E+03,4.921704E+03,6.038754E-02,0.000000E+00,1.397780E-01,1.562445E+03,4.912713E+03,5.175385E-01,1.227325E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473196E-01,4.467291E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010591E-01,1.112721E+04,6.038754E-02,0.000000E+00,0.000000E+00
01:10:00,6.038754E-02,0.000000E+00,1.741651E-01,2.427874E+03,4.966788E+03,6.038754E-02,0.000000E+00,6.247113E-02,4.753715E+02,1.522055E+03,6.038754E-02,0.000000E+00,1.384186E-01,1.554019E+03,4.816673E+03,6.038754E-02,0.000000E+00,1.369242E-01,1.523482E+03,4.805083E+03,5.175405E-01,1.227330E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473210E-01,4.467309E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010616E-01,1.112726E+04,6.038754E-02,0.000000E+00,0.000000E+00
01:20:00,6.038754E-02,0.000000E+00,1.722050E-01,2.391666E+03,4.901734E+03,6.038754E-02,0.000000E+00,6.038754E-02,4.564016E+02,1.460606E+03,6.038754E-02,0.000000E+00,1.356190E-01,1.515592E+03,4.711995E+03,6.038754E-02,0.000000E+00,1.340296E-01,1.484362E+03,4.696327E+03,5.175425E-01,1.227335E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473225E-01,4.467327E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010639E-01,1.112731E+04,6.038754E-02,0.000000E+00,0.000000E+00
01:30:00,6.038754E-02,0.000000E+00,1.701652E-01,2.354559E+03,4.834627E+03,6.038754E-02,0.000000E+00,6.038754E-02,4.532866E+02,1.449944E+03,6.038754E-02,0.000000E+00,1.327962E-01,1.477196E+03,4.606812E+03,6.038754E-02,0.000000E+00,1.310956E-01,1.445106E+03,4.586504E+03,5.175445E-01,1.227339E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473238E-01,4.467345E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010663E-01,1.112737E+04,6.038754E-02,0.000000E+00,0.000000E+00
01:40:00,6.038754E-02,0.000000E+00,1.680278E-01,2.316317E+03,4.764968E+03,6.038754E-02,0.000000E+00,6.038754E-02,4.501717E+02,1.439304E+03,6.038754E-02,0.000000E+00,1.299469E-01,1.438798E+03,4.501011E+03,6.038754E-02,0.000000E+00,1.281320E-01,1.405828E+03,4.475960E+03,5.175465E-01,1.227344E+04,6.038754E-02,0.000000E+00,0.000000E+00,3.473252E-01,4.467363E+03,6.038754E-02,0.000000E+00,0.000000E+00,5.010686E-01,1.112742E+04,6.038754E-02,0.000000E+00,0.000000E+00
