Time,TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Heat Load [W],TEST_OFFICE_0::Des Latent Cool Load [W],TEST_OFFICE_0::Des Latent Heat Mass Flow [kg/s],TEST_OFFICE_0::Des Latent Cool Mass Flow [kg/s],TEST_OFFICE_0::Des Heat Load No DOAS [W],TEST_OFFICE_0::Des Sens Cool Load No DOAS [W],TEST_OFFICE_0::Des Latent Heat Load No DOAS [W],TEST_OFFICE_0::Des Latent Cool Load No DOAS [W],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TEST_OFFICE_0:NEW YORK LAGUARDIA ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.027362E+03,2.107338E+03,4.141363E-01,1.626325E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394660E+01,2.669559E+01,4.812746E+01
00:20:00,8.026948E+03,2.082819E+03,4.141150E-01,1.607404E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394663E+01,2.669561E+01,4.817105E+01
00:30:00,8.026537E+03,2.058196E+03,4.140937E-01,1.588402E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394665E+01,2.669562E+01,4.820583E+01
00:40:00,8.026128E+03,2.033873E+03,4.140726E-01,1.569630E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394668E+01,2.669563E+01,4.824306E+01
00:50:00,8.025721E+03,2.009161E+03,4.140517E-01,1.550559E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394670E+01,2.669561E+01,4.828555E+01
01:00:00,8.025317E+03,1.983716E+03,4.140308E-01,1.530918E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394673E+01,2.669573E+01,4.833428E+01
01:10:00,8.025348E+03,1.962421E+03,4.140324E-01,1.514479E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394675E+01,2.669583E+01,4.839033E+01
01:20:00,8.025379E+03,1.940341E+03,4.140340E-01,1.497434E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394678E+01,2.669590E+01,4.845234E+01
01:30:00,8.025410E+03,1.917366E+03,4.140356E-01,1.479697E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394680E+01,2.669595E+01,4.851871E+01
01:40:00,8.025440E+03,1.893292E+03,4.140372E-01,1.461111E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099131E+01,4.394683E+01,2.669600E+01,4.858830E+01
